mq4,mq7,temperature,humidity,target
189,394,33,61,1
169,319,33,61,1
171,333,33,61,1
170,336,33,61,1
382,335,33,61,1
526,331,33,61,0
477,330,60,61,0
390,319,33,61,1
420,514,33,61,0
357,534,35,61,0
333,492,33,61,1
335,453,33,61,1
319,474,33,61,1
297,542,33,61,0
282,517,33,61,0
267,479,33,61,1
302,447,33,61,1
155,149,33,62,1
154,149,33,62,1
154,148,33,62,1
153,147,33,62,1
153,148,33,62,1
154,148,33,62,1
153,148,33,62,1
154,147,33,62,1
154,147,33,62,1
154,147,33,62,1
154,147,33,62,1
153,147,33,62,1
154,147,33,62,1
153,147,33,62,1
152,147,33,62,1
153,147,33,62,1
153,147,33,62,1
153,147,33,62,1
153,146,33,62,1
153,146,33,62,1
152,146,33,62,1
152,146,33,62,1
109,121,0,0,0
187,179,33,62,1
185,177,33,62,1
186,177,33,62,1
185,177,33,62,1
184,176,33,62,1
184,176,33,62,1
183,175,33,62,1
183,175,33,62,1
181,173,33,62,1
181,173,33,62,1
181,172,33,62,1
180,172,33,62,1
179,172,33,62,1
179,172,33,62,1
180,172,33,62,1
180,172,33,62,1
180,171,33,62,1
180,171,33,62,1
179,171,33,62,1
179,171,33,62,1
179,171,33,62,1
179,171,33,62,1
180,171,33,62,1
179,171,33,62,1
179,170,33,62,1
179,170,33,62,1
184,174,33,62,1
184,174,33,62,1
184,174,33,62,1
183,173,33,62,1
182,173,33,62,1
182,173,33,62,1
183,173,33,62,1
182,173,33,62,1
182,173,33,62,1
183,173,33,62,1
183,174,33,62,1
188,343,33,62,1
204,535,33,62,0
197,504,33,62,0
194,495,33,62,1
195,501,33,62,0
194,494,33,62,1
196,592,33,62,0
194,568,33,62,0
196,528,33,62,0
195,481,33,62,1
195,463,33,62,1
195,447,33,62,1
195,428,33,62,1
197,412,33,62,1
200,386,33,62,1
200,373,33,62,1
200,355,33,62,1
200,342,33,62,1
200,244,33,62,1
201,241,33,62,1
202,237,33,62,1
201,219,33,62,1
201,218,33,62,1
201,217,33,62,1
200,216,33,62,1
200,214,33,62,1
200,213,33,62,1
200,212,33,62,1
200,211,33,62,1
200,210,33,62,1
200,209,33,62,1
200,208,33,62,1
199,206,33,62,1
200,206,33,62,1
201,205,33,62,1
605,207,33,63,0
529,196,33,63,0
478,192,33,63,1
422,310,33,63,1
391,418,33,63,1
363,551,33,63,0
400,667,33,63,0
361,636,33,63,0
343,588,33,63,0
370,540,33,63,0
457,511,33,63,0
429,487,33,63,1
374,459,33,63,1
342,417,33,63,1
309,372,33,63,1
324,348,33,63,1
302,342,33,63,1
310,329,33,63,1
298,322,33,63,1
295,315,33,63,1
286,308,33,63,1
282,304,33,63,1
279,302,33,63,1
303,296,33,63,1
291,292,33,63,1
300,288,33,63,1
281,287,33,63,1
289,285,33,63,1
283,277,33,63,1
284,271,33,63,1
272,265,33,63,1
299,259,33,63,1
274,255,33,63,1
265,251,33,63,1
265,249,33,63,1
278,249,33,63,1
266,251,33,63,1
260,246,33,63,1
272,230,33,63,1
263,228,33,63,1
266,229,33,63,1
256,227,33,63,1
255,228,33,63,1
251,225,33,63,1
248,222,33,63,1
247,220,33,63,1
172,156,32,59,1
173,156,32,59,1
172,156,32,59,1
172,156,32,59,1
173,156,32,59,1
173,156,32,59,1
173,156,32,59,1
173,156,32,59,1
173,156,32,59,1
172,156,32,59,1
172,156,32,59,1
173,156,32,59,1
172,155,32,59,1
172,155,32,59,1
171,155,32,59,1
161,151,31,59,1
161,151,31,59,1
161,150,31,59,1
161,150,31,59,1
161,150,31,59,1
162,150,31,59,1
162,150,31,59,1
162,150,31,59,1
161,150,31,59,1
160,150,31,59,1
160,150,31,59,1
160,150,31,59,1
160,149,31,59,1
160,149,31,59,1
157,146,31,59,1
156,146,31,59,1
156,146,31,59,1
155,145,31,59,1
155,145,31,59,1
156,146,31,59,1
156,146,31,59,1
158,147,31,59,1
157,147,31,59,1
157,146,31,59,1
156,146,31,59,1
170,152,32,59,1
183,161,32,59,1
216,176,32,59,1
272,186,32,59,1
233,187,32,59,1
336,194,32,59,1
326,193,32,59,1
336,203,32,59,1
348,208,32,59,1
418,271,32,59,1
531,309,32,59,0
490,301,31,59,1
418,279,31,59,1
374,261,31,59,1
355,250,31,59,1
331,238,31,59,1
338,281,32,62,1
326,272,31,62,1
312,260,31,62,1
304,254,32,62,1
298,251,32,62,1
288,244,32,62,1
284,243,32,62,1
276,236,32,62,1
270,232,32,62,1
270,233,32,62,1
265,229,32,62,1
264,229,32,62,1
260,227,32,62,1
248,217,32,62,1
427,266,32,62,1
366,256,32,62,1
333,246,32,62,1
322,261,32,62,1
371,313,32,62,1
341,293,32,62,1
439,295,32,62,1
506,325,32,62,0
434,307,32,62,1
399,291,32,62,1
518,283,32,62,0
424,290,32,62,1
403,282,32,62,1
366,271,32,62,1
359,271,32,62,1
350,266,32,62,1
353,276,32,62,1
341,266,32,62,1
348,280,32,62,1
338,271,32,62,1
325,259,32,62,1
247,284,31,69,1
247,283,31,69,1
246,283,31,69,1
246,282,31,69,1
245,282,31,69,1
245,282,31,69,1
245,281,31,69,1
246,281,31,69,1
246,281,31,69,1
246,281,31,69,1
246,281,31,69,1
245,280,31,69,1
245,280,31,69,1
245,280,31,69,1
245,279,31,69,1
244,278,31,69,1
245,279,31,69,1
245,279,31,69,1
245,279,31,69,1
246,279,31,69,1
247,280,31,69,1
245,279,31,69,1
241,274,31,69,1
245,278,31,69,1
239,272,31,69,1
237,270,31,69,1
237,269,31,69,1
238,270,31,69,1
239,271,31,69,1
239,271,31,69,1
236,268,31,69,1
236,268,31,69,1
237,268,31,69,1
234,266,31,69,1
237,269,31,69,1
237,268,31,69,1
